Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717778919.7629652,-15.64,-6.08,-26.013333333333335,-11.52439024390244,-0.06097560975609757,-0.3658536585365854,-0.009765625,-0.76708984375,-0.646240234375,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.19640826 -0.5052344  -0.84033446],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],23.802905375504043,12.022871886888888,9.958907795702256,[0.10598184 0.08428704 0.21321563 0.96757565],[ 0.20444002 -0.06657952  0.2104087   0.9536769 ]
1717778919.779367,-15.600000000000001,-6.213333333333334,-25.533333333333335,-8.170731707317074,-0.48780487804878053,0.12195121951219513,-0.00146484375,-0.69482421875,-0.67822265625,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.20331555 -0.51047038 -0.83551348],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],24.053936998324694,11.007944905117787,8.421286503580967,[0.09141271 0.07832734 0.21373936 0.96944522],[0.09527248 0.04688866 0.10517282 0.98876857]
1717778919.8143206,-15.346666666666668,-6.173333333333334,-25.720000000000002,5.182926829268293,-0.1829268292682927,1.0975609756097562,-0.03759765625,-0.808837890625,-0.652587890625,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.20187354 -0.50184978 -0.8410671 ],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],23.723478036126107,12.25797217263763,10.448305355980644,[0.11045364 0.08544431 0.21304065 0.96701238],[0.08655542 0.09242852 0.27821465 0.95213536]
1717778919.8373988,-15.466666666666667,-6.186666666666667,-25.680000000000003,-2.073170731707317,0.24390243902439027,0.06097560975609757,-0.022216796875,-0.640380859375,-0.7119140625,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.20211444 -0.5052861  -0.83894917],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],23.857511652446696,11.776383131466464,9.656525506502197,[0.1030464  0.08271039 0.2133234  0.96800494],[0.10165575 0.07656758 0.18572725 0.97432484]
1717778919.860393,-15.360000000000001,-6.373333333333334,-25.653333333333336,-5.060975609756098,-0.1829268292682927,0.30487804878048785,-0.006103515625,-0.80615234375,-0.626220703125,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.20847015 -0.50242178 -0.83911415],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],23.808617989435106,11.901401257362155,9.978895569502995,[0.10594757 0.08321489 0.21321154 0.9676731 ],[0.10730131 0.07772433 0.12851424 0.9828171 ]
1717778919.8876607,-15.440000000000001,-6.2,-25.693333333333335,0.9146341463414634,0.30487804878048785,0.48780487804878053,-0.029541015625,-0.67578125,-0.680908203125,0.41642228739002934,0.3841642228739003,0.34017595307917886,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04869095 0.5481788  0.83494263],[ 0.20254723 -0.50440793 -0.83937313],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],23.828418071909866,11.87926738951495,9.833954280886845,[0.1047001  0.08327877 0.21326134 0.9677924 ],[0.09381331 0.07976644 0.21771201 0.96821375]
1717778919.9145708,-15.48,-6.213333333333334,-25.46666666666667,17.743902439024392,0.1829268292682927,0.24390243902439027,-0.01220703125,-0.8125,-0.677734375,0.41348973607038125,0.3812316715542522,0.33724340175953077,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04895383 0.55113842 0.83297657],[ 0.20409609 -0.50848832 -0.83653118],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],24.087771705717838,11.703424351388177,9.4522320061002,[0.10136078 0.08226839 0.21508315 0.96783115],[0.08598636 0.09389899 0.35385968 0.92659195]
1717778919.9474735,-15.520000000000001,-6.213333333333334,-25.253333333333334,0.12195121951219513,-0.30487804878048785,0.12195121951219513,-0.025146484375,-0.694580078125,-0.6796875,0.41348973607038125,0.3812316715542522,0.33724340175953077,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04895383 0.55113842 0.83297657],[ 0.20515922 -0.51245778 -0.83384454],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],24.238637108584296,11.109547053947281,8.507513754441094,[0.09244662 0.07887967 0.21540653 0.96893325],[0.09133463 0.08762416 0.23740534 0.96312964]
1717778919.9750402,-15.280000000000001,-6.253333333333334,-25.053333333333335,9.51219512195122,0.24390243902439027,0.6707317073170732,-0.026123046875,-0.91650390625,-0.630126953125,0.41348973607038125,0.3782991202346041,0.3343108504398827,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.03643239 0.56792478 0.82227375],[ 0.20841526 -0.50926202 -0.83499418],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],24.6776314419079,13.725659518331977,13.29588360507335,[0.13764686 0.09138619 0.22424858 0.96042412],[0.11318838 0.10053179 0.33905338 0.92850663]
1717778919.994292,-15.56,-6.186666666666667,-24.96,-0.6097560975609757,0.1829268292682927,0.3658536585365854,-0.007568359375,-0.637451171875,-0.718994140625,0.41348973607038125,0.3782991202346041,0.3343108504398827,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.03643239 0.56792478 0.82227375],[ 0.20583493 -0.51769258 -0.83043746],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],25.00825638595584,12.647574694936722,11.523664118069082,[0.12114329 0.0853871  0.22490112 0.96304353],[0.11346335 0.08536818 0.23031734 0.96270051]
1717778920.0222895,-15.600000000000001,-6.253333333333334,-24.92,0.30487804878048785,0.0,0.7317073170731708,-0.015380859375,-0.7939453125,-0.64111328125,0.41348973607038125,0.3782991202346041,0.3343108504398827,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.03643239 0.56792478 0.82227375],[ 0.2080437  -0.51900028 -0.82906968],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],25.085730722967703,12.349326301437198,11.09162808264278,[0.11703731 0.08363533 0.22504612 0.96367092],[0.10262446 0.0877455  0.23019502 0.96373191]
1717778920.0496745,-15.72,-6.213333333333334,-24.986666666666668,5.487804878048781,0.3658536585365854,0.5487804878048781,-0.0205078125,-0.686279296875,-0.654541015625,0.41055718475073316,0.3782991202346041,0.3343108504398827,0.020527859237536656,0.017595307917888565,0.026392961876832845,42.3,-83.7,0.3,[0.04921893 0.55412302 0.83097845],[ 0.2059635  -0.52109649 -0.8282738 ],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],24.638291107873663,10.317232782000833,7.148161661525597,[0.07980325 0.0744255  0.21755543 0.96992882],[0.06495604 0.08115813 0.30217186 0.94756859]
