Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1718050144.0159376,10.08,2.6,-51.733333333333334,-15.060975609756099,3.048780487804878,1.0365853658536586,-0.005615234375,0.085693359375,-1.01318359375,1.5689149560117301,1.7390029325513197,1.4076246334310851,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.49631477 0.27649317 0.82293571],[ 0.19101655  0.04927014 -0.98034949],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-6.274837204352809,-1.1471544630700072,168.0922896817854,[ 0.99312205  0.05339614 -0.01561854  0.10302186],[ 0.99480604  0.03243494 -0.01098729  0.09585503]
1718050144.0316484,9.84,2.7866666666666666,-51.82666666666667,-1.707317073170732,0.30487804878048785,0.3658536585365854,-0.001220703125,0.08251953125,-1.01025390625,1.5689149560117301,1.7390029325513197,1.4076246334310851,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.49631477 0.27649317 0.82293571],[ 0.18627164  0.05275172 -0.9810811 ],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-6.159745946205103,-1.3872831193765065,168.43603433485487,[ 0.99346812  0.05223294 -0.0174394   0.09994343],[ 0.99415542  0.03742904 -0.01463753  0.10019883]
1718050144.0563507,10.026666666666667,2.7866666666666666,-51.733333333333334,-1.8902439024390245,0.30487804878048785,0.30487804878048785,-0.007568359375,0.0947265625,-1.01416015625,1.563049853372434,1.7390029325513197,1.4076246334310851,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.50245805 0.26661845 0.82246612],[ 0.19000816  0.05280812 -0.98036126],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.992034809940945,-1.3428938444857088,167.43265765515193,[ 0.99263245  0.0506681  -0.0173526   0.10868511],[ 0.99348754  0.03595565 -0.01581181  0.10695642]
1718050144.0834484,10.026666666666667,2.8000000000000003,-51.693333333333335,-1.707317073170732,0.6707317073170732,0.06097560975609757,0.001220703125,0.08349609375,-1.0126953125,1.5718475073313782,1.7390029325513197,1.4193548387096775,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.48622029 0.26380861 0.83306354],[ 0.19014692  0.05309954 -0.98031862],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.812019885948647,-1.0215573840742789,167.78227046768706,[ 0.99305147  0.04946035 -0.01424756  0.10582746],[ 0.99360582  0.03520661 -0.01236441  0.10656028]
1718050144.1100094,10.040000000000001,2.7600000000000002,-51.733333333333334,-1.5853658536585367,0.48780487804878053,0.30487804878048785,-0.00146484375,0.0888671875,-1.010986328125,1.5718475073313782,1.7419354838709677,1.4164222873900294,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.4922281  0.26737216 0.82838616],[ 0.19025675  0.05230166 -0.9803402 ],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.9530262763657165,-1.1269913209231364,167.78512558377815,[ 0.99298901  0.05058443 -0.01529005  0.10573668],[ 0.99345036  0.03630148 -0.01260037  0.10760954]
1718050144.137213,10.040000000000001,2.7600000000000002,-51.68000000000001,-1.9512195121951221,0.6707317073170732,0.0,-0.006591796875,0.0849609375,-1.014404296875,1.5718475073313782,1.7419354838709677,1.4193548387096775,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.49046452 0.2629434  0.83084615],[ 0.19044543  0.05235353 -0.98030079],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.8534471185128325,-1.0812500669635028,167.52369837674965,[ 0.99279036  0.04973022 -0.01491531  0.10803582],[ 0.99350612  0.034229   -0.01167701  0.10787774]
1718050144.1646106,10.053333333333335,2.7866666666666666,-51.693333333333335,-1.7682926829268295,0.426829268292683,0.30487804878048785,-0.001220703125,0.085205078125,-1.01171875,1.5718475073313782,1.7419354838709677,1.4164222873900294,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.4922281  0.26737216 0.82838616],[ 0.19063683  0.0528423  -0.98023736],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.928331979737406,-1.1187091444452253,167.80781680768925,[ 0.99302112  0.05038117 -0.01518552  0.10554713],[ 0.99345957  0.03489347 -0.01269662  0.10797839]
1718050144.1921186,10.040000000000001,2.7866666666666666,-51.70666666666667,-1.829268292682927,0.426829268292683,0.12195121951219513,-0.008056640625,0.088134765625,-1.01416015625,1.5718475073313782,1.7419354838709677,1.4164222873900294,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.4922281  0.26737216 0.82838616],[ 0.19034598  0.05283175 -0.98029445],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.930653671854938,-1.1303994137655018,167.8152788354487,[ 0.99302653  0.05039141 -0.01528568  0.10547681],[ 0.99355855  0.03485129 -0.01315095  0.10702269]
1718050144.2181861,10.040000000000001,2.7733333333333334,-51.693333333333335,-1.7682926829268295,0.6707317073170732,0.24390243902439027,-0.00048828125,0.081298828125,-1.01171875,1.5718475073313782,1.7419354838709677,1.4193548387096775,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.49046452 0.2629434  0.83084615],[ 0.1903957   0.0525927  -0.98029765],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.843968848677414,-1.0864682647353638,167.5399332185928,[ 0.99280959  0.04964526 -0.01494454  0.10789404],[ 0.99339053  0.03454417 -0.01184177  0.10881973]
1718050144.2451565,10.026666666666667,2.7866666666666666,-51.74666666666667,-1.707317073170732,0.426829268292683,0.24390243902439027,-0.00439453125,0.0888671875,-1.01025390625,1.5718475073313782,1.7419354838709677,1.4164222873900294,0.07917888563049853,0.0967741935483871,0.10263929618768329,42.3,-83.7,0.3,[0.4922281  0.26737216 0.82838616],[ 0.18996111  0.05279504 -0.98037108],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-5.934656955737485,-1.14556824212391,167.82375940569437,[ 0.993032    0.05041315 -0.01541706  0.10539583],[ 0.99344605  0.03534833 -0.01286684  0.10793466]
